BEL,Belgium,Median,2.0412,1.9734,1.9075,1.8434,1.7815,1.7219,1.6642,1.6079,1.5531,1.4993,1.4474,1.3961,1.3473,1.2999,1.2548,1.2121,1.1720,1.1342,1.0982,1.0646,1.0331,1.0035,0.9750,0.9476,0.9216,0.8967,0.8728,0.8490,0.8256,0.8024
BEL,Belgium,Upper,2.1393,2.0579,1.9825,1.9115,1.8445,1.7821,1.7230,1.6657,1.6094,1.5546,1.4991,1.4456,1.3948,1.3462,1.3006,1.2567,1.2152,1.1769,1.1403,1.1061,1.0742,1.0443,1.0162,0.9905,0.9666,0.9452,0.9273,0.9128,0.9011,0.8899
BLZ,Belize,Lower,4.3423,4.4033,4.4475,4.4836,4.5053,4.5083,4.4926,4.4649,4.4255,4.3680,4.2945,4.2134,4.1229,4.0290,3.9244,3.8220,3.7214,3.6147,3.5088,3.4017,3.2930,3.1819,3.0669,2.9525,2.8320,2.7037,2.5766,2.4484,2.3185,2.1961
BLZ,Belize,Median,5.1028,5.0717,5.0445,5.0136,4.9799,4.9447,4.9070,4.8606,4.8021,4.7353,4.6573,4.5690,4.4707,4.3697,4.2688,4.1604,4.0495,3.9361,3.8245,3.7109,3.5997,3.4892,3.3797,3.2709,3.1648,3.0646,2.9721,2.8793,2.7893,2.7018
BLZ,Belize,Upper,5.9719,5.8220,5.6996,5.5901,5.4987,5.4200,5.3487,5.2788,5.2100,5.1361,5.0509,4.9624,4.8604,4.7503,4.6382,4.5163,4.4011,4.2814,4.1603,4.0399,3.9250,3.8173,3.7094,3.6251,3.5485,3.4855,3.4327,3.3921,3.3664,3.3494
BEN,Benin,Lower,36.7625,35.7812,34.7465,33.7752,32.8442,31.9050,31.0521,30.2194,29.4780,28.7814,28.1175,27.4784,26.8301,26.1945,25.5393,24.8849,24.2358,23.5934,22.9307,22.2297,21.5400,20.8799,20.2244,19.5751,18.8784,18.2084,17.5442,16.8498,16.1701,15.4552
BEN,Benin,Median,41.7801,40.5470,39.3448,38.1810,37.0886,36.0397,35.0603,34.1241,33.2318,32.3897,31.5906,30.8288,30.1088,29.4104,28.7180,28.0182,27.3341,26.6826,26.0276,25.3860,24.7774,24.1699,23.5638,22.9616,22.3979,21.8278,21.2638,20.7082,20.1741,19.5967
BEN,Benin,Upper,47.4580,45.8364,44.3274,42.8997,41.5938,40.3314,39.1793,38.0665,37.1108,36.1684,35.3276,34.4917,33.7169,32.9862,32.2853,31.5519,30.9235,30.2474,29.6765,29.1011,28.5748,28.1054,27.6056,27.1557,26.7398,26.3754,26.0014,25.6852,25.4041,25.1287
BTN,Bhutan,Lower,13.4837,13.4627,13.3863,13.2266,12.9747,12.6677,12.3322,12.0167,11.7281,11.4665,11.1664,10.8811,10.5954,10.2518,9.8943,9.4962,9.1346,8.7260,8.3021,7.9002,7.4995,7.0992,6.6667,6.2321,5.8330,5.4950,5.1586,4.8737,4.5726,4.2946
BTN,Bhutan,Median,19.4869,18.8213,18.1485,17.4647,16.7981,16.2017,15.6445,15.0969,14.5806,14.1094,13.6559,13.2295,12.8289,12.4251,12.0225,11.6350,11.2339,10.8463,10.4615,10.0783,9.7138,9.3394,8.9794,8.6399,8.3430,8.0644,7.8112,7.5591,7.3357,7.1091
BTN,Bhutan,Upper,29.6032,27.0584,24.8557,23.1882,21.8403,20.6588,19.6708,18.7607,17.9329,17.2470,16.6064,16.0877,15.5765,15.1507,14.7441,14.3604,14.0347,13.6932,13.3313,13.0022,12.6885,12.4038,12.2206,12.0453,11.8718,11.7683,11.6014,11.5264,11.4997,11.4043
BOL,Bolivia (Plurinational State of),Lower,10.3650,9.9212,9.5001,9.0954,8.7278,8.3899,8.0557,7.7476,7.4605,7.1903,6.9262,6.6748,6.4114,6.1522,5.8909,5.6336,5.3833,5.1306,4.8818,4.6149,4.3528,4.1030,3.8745,3.6498,3.4558,3.2541,3.0669,2.8978,2.7374,2.5859
BOL,Bolivia (Plurinational State of),Median,11.9446,11.4469,10.9776,10.5238,10.1043,9.7164,9.3404,8.9946,8.6711,8.3595,8.0714,7.7914,7.5201,7.2637,7.0051,6.7461,6.5017,6.2511,6.0026,5.7634,5.5330,5.3275,5.1364,4.9632,4.7930,4.6442,4.4972,4.3617,4.2458,4.1160
BOL,Bolivia (Plurinational State of),Upper,13.6072,13.0129,12.4703,11.9616,11.4955,11.0467,10.6436,10.2639,9.9468,9.6388,9.3644,9.1027,8.8618,8.6077,8.3782,8.1371,7.8972,7.6764,7.4729,7.2976,7.1510,7.0157,6.8925,6.7888,6.6980,6.6622,6.5994,6.5643,6.5473,6.5268
BIH,Bosnia and Herzegovina,Lower,2.4644,2.3590,12.1929,14.0544,8.7193,10.2571,1.8411,1.7597,1.6874,1.6223,1.5642,1.5138,1.4669,1.4263,1.3909,1.3571,1.3258,1.2950,1.2672,1.2408,1.2165,1.1947,1.1758,1.1566,1.1370,1.1152,1.0914,1.0621,1.0286,0.9875
BIH,Bosnia and Herzegovina,Median,2.6381,2.5180,13.0386,15.0795,9.4035,11.0977,1.9905,1.9025,1.8211,1.7451,1.6776,1.6177,1.5658,1.5211,1.4821,1.4482,1.4163,1.3865,1.3589,1.3331,1.3102,1.2905,1.2745,1.2621,1.2534,1.2452,1.2379,1.2285,1.2130,1.1959
BIH,Bosnia and Herzegovina,Upper,2.8236,2.6857,13.9331,16.1664,10.1152,11.9610,2.1458,2.0485,1.9547,1.8697,1.7918,1.7255,1.6707,1.6221,1.5815,1.5471,1.5147,1.4853,1.4581,1.4329,1.4119,1.3961,1.3857,1.3819,1.3845,1.3945,1.4108,1.4283,1.4440,1.4574
