"","Country","Reported.number.of.people.receiving.ART","Estimated.number.of.people.living.with.HIV","Estimated.ART.coverage.among.people.living.with.HIV....","WHO.Region"
"129","Republic of North Macedonia","240","500[500–520]","54[47–63]","Europe"
"130","Romania","12100","18000[16000–20000]","67[60–73]","Europe"
"131","Russian Federation","Nodata","Nodata","Nodata","Europe"
"132","Rwanda","194000","220000[200000–250000]","87[76–95]","Africa"
"133","Saudi Arabia","6300","Nodata","Nodata","Eastern Mediterranean"
"134","Senegal","26600","42000[37000–47000]","63[55–71]","Africa"
"135","Serbia","2000","3000[2200–3800]","65[47–83]","Europe"
"136","Sierra Leone","28400","70000[56000–86000]","41[33–50]","Africa"
"137","Singapore","6200","7900[7200–8700]","78[71–86]","Western Pacific"
"138","Slovakia","650","1200[910–1900]","54[40–85]","Europe"
"139","Slovenia","Nodata","Nodata","Nodata","Europe"
"140","Somalia","3300","11000[8400–15000]","30[23–41]","Eastern Mediterranean"
"141","South Africa","4788000","7700000[7100000–8300000]","62[57–66]","Africa"
"142","South Sudan","30700","190000[140000–240000]","16[12–20]","Africa"
"143","Spain","125000","150000[130000–170000]","84[73–94]","Europe"
"144","Sri Lanka","1600","3500[3100–4000]","45[40–52]","South-East Asia"
"145","Sudan","9000","59000[26000–110000]","15[7–28]","Eastern Mediterranean"
"146","Suriname","2900","5600[3700–8100]","52[35–75]","Americas"
"147","Sweden","Nodata","Nodata","Nodata","Europe"
"148","Switzerland","14800","Nodata","Nodata","Europe"
"149","Syrian Arab Republic","130","660[590–720]","20[18–22]","Eastern Mediterranean"
"150","Tajikistan","6000","13000[11000–16000]","46[38–56]","Europe"
"151","Thailand","359000","480000[420000–550000]","75[66–86]","South-East Asia"
"152","Timor-Leste","Nodata","Nodata","Nodata","South-East Asia"
"153","Togo","64800","110000[100000–120000]","60[56–65]","Africa"
"154","Trinidad and Tobago","Nodata","Nodata","Nodata","Americas"
"155","Tunisia","1100","2800[1700–4400]","39[24–61]","Eastern Mediterranean"
"156","Turkey","Nodata","Nodata","Nodata","Europe"
"157","Turkmenistan","Nodata","Nodata","Nodata","Europe"
"158","Uganda","1004000","1400000[1300000–1500000]","72[68–78]","Africa"
"159","Ukraine","124000","240000[220000–260000]","52[48–56]","Europe"
"160","United Arab Emirates","Nodata","Nodata","Nodata","Eastern Mediterranean"
"161","United Kingdom of Great Britain and Northern Ireland","Nodata","Nodata","Nodata","Europe"
"162","United Republic of Tanzania","1109000","1600000[1400000–1700000]","71[64–78]","Africa"
"163","United States of America","Nodata","Nodata","Nodata","Americas"
"164","Uruguay","8100","14000[9900–19000]","58[41–76]","Americas"
"165","Uzbekistan","26700","52000[48000–56000]","51[47–55]","Europe"
"166","Venezuela (Bolivarian Republic of)","Nodata","120000[100000–130000]","Nodata","Americas"
"167","Viet Nam","150000","230000[200000–260000]","65[57–73]","Western Pacific"
"168","Yemen","2200","11000[6500–18000]","21[12–35]","Eastern Mediterranean"
"169","Zambia","965000","1200000[1100000–1400000]","78[69–88]","Africa"
"170","Zimbabwe","1151000","1300000[1100000–1500000]","88[77–95]","Africa"
